UID,SITE_ID,VISIT_NO,OE_SCORE
2012876,NRS18_ND_10013,1,0.633437468
2012877,NRS18_LA_10008,1,0.9673048
2012878,NRS18_NE_10020,1,0.644496185
2012879,NRS18_AR_10040,1,0.735834345
2012880,NRS18_TX_10025,1,0.615725524
2012881,NRS18_WA_10037,1,0.773858833
2012883,NRS18_WA_10002,2,0.705973621
2012884,NRS18_WV_10002,2,0.447621849
2012885,NRS18_CA_10028,1,0.646572917
2012886,NRS18_PA_10016,1,0.217764941
2012887,NRS18_OH_10037,1,0.592398421
2012888,NRS18_NV_10009,1,0.637201689
2012889,NRS18_RI_10197,1,0.793941266
2012890,NRS18_AL_10009,1,0.465058618
2012891,NRS18_AL_10010,1,0.38034257
2012893,NRS18_AR_10026,1,0.39305158
2012894,NRS18_CO_10028,1,0.483042958
2012895,NRS18_AR_10004,1,0.718733182
2012896,NRS18_IL_10044,1,1.1545259
2012897,NRS18_AR_10008,1,1.130065987
2012898,NRS18_OR_10016,2,0.999027468
2012899,NRS18_MD_10019,1,0.578086241
2012900,NRS18_CA_10030,1,0.684296619
2012901,NRS18_UT_10026,1,0.848702028
2012902,NRS18_IN_10026,1,1.28030607
2012903,NRS18_AR_10025,1,0.56229047
2012904,NRS18_WA_10025,1,0.999431281
2012905,NRS18_TX_10068,1,0.285587051
2012906,NRS18_IL_10027,1,0.191397668
2012907,NRS18_NV_10014,1,0.64451471
2012908,NRS18_CA_10021,1,1.187169892
2012909,NRS18_OH_10011,2,0.666116227
2012912,NRS18_KS_10125,1,0.937442167
2012913,NRS18_PA_10035,1,0.773366617
2012914,NRS18_MS_10001,1,0.343055964
2012915,NRS18_MS_10002,1,0.559152336
2012916,NRS18_NE_10008,1,1.15262761
2012917,NRS18_ID_10001,2,1.159812281
2012918,NRS18_OR_10015,2,1.052672257
2012919,NRS18_CA_10788,1,0.609053889
2012920,NRS18_SC_10007,2,0.13207956
2012921,NRS18_NY_10007,1,0.273019024
2012922,NRS18_IN_10347,1,1.078936517
2012923,NRS18_CO_10825,1,1.060135267
2012924,NRS18_UT_10434,1,0.831426292
2012925,NRS18_AR_10016,1,0.306349742
2012926,NRS18_SD_10010,1,0.653093059
2012927,NRS18_NV_10001,2,0.83765639
2012928,NRS18_DE_10008,1,0.917770353
2012929,NRS18_PA_10068,1,0.390571626
2012930,NRS18_ID_10016,2,0.636823179
2012931,NRS18_NH_10004,1,0.666137121
2012932,NRS18_TX_10005,1,1.251916483
2012934,NRS18_MD_10002,1,0.699030191
2012935,NRS18_CA_10016,1,0.259435134
2012936,NRS18_NE_10049,1,0.885293512
2012937,NRS18_FL_10035,1,0.674166176
2012938,NRS18_IL_10016,1,0.773901563
2012939,NRS18_CT_10036,1,0.641205017
2012940,NRS18_SC_10479,1,0.817789193
2012941,NRS18_IN_10021,1,1.25575808
2012942,NRS18_NY_10019,1,0.514746435
2012943,NRS18_AR_10191,1,0.906085279
2012944,NRS18_AR_10039,1,0.800866355
2012945,NRS18_NV_10013,1,0.971815059
2012946,NRS18_SD_10015,1,0.778935831
2012947,NRS18_OR_10059,1,0.548783009
2012948,NRS18_NY_10061,1,0.399639225
2012949,NRS18_MI_10531,1,1.301990958
2012950,NRS18_WV_RF002,1,1.328548997
2012952,NRS18_MD_10010,1,1.076000508
2012953,NRS18_UT_10014,1,0.953850201
2012954,NRS18_IN_10008,1,1.222430981
2012956,NRS18_NE_10046,1,0.758485423
2012958,NRS18_PA_10015,2,0.984866716
2012961,NRS18_TN_10005,1,0.850272831
2012962,NRS18_SC_10010,1,0.71616072
2012963,NRS18_CO_10014,1,0.895123339
2012964,NRS18_IN_10025,1,0.624165813
2012965,NRS18_TX_10046,1,0.2036109
2012966,NRS18_ID_10008,1,1.118010273
2012967,NRS18_CO_10003,1,0.783785901
2012969,NRS18_CO_10374,1,0.647871964
2012970,NRS18_UT_10044,1,0.615647895
2012971,NRS18_NV_10006,1,0.413578755
2012972,NRS18_SC_10004,1,0.418109225
2012973,NRS18_TN_10011,1,0.194132711
2012974,NRS18_AR_10046,1,0.768673923
2012975,NRS18_AR_10022,1,0.586089258
2012976,NRS18_IL_10013,2,0.432736064
2012977,NRS18_IL_10019,1,0.989181613
2012978,NRS18_CO_10002,1,1.003493359
2012979,NRS18_AR_10024,1,0.806844049
2012980,NRS18_CO_11124,1,0.467118351
2012981,NRS18_MA_10185,1,0.272191855
2012982,NRS18_MT_10041,1,1.073842983
2012983,NRS18_IL_10026,1,0.163368458
2012984,NRS18_AR_10489,1,0.692954867
2012985,NRS18_CO_10013,1,1.105794709
2012986,NRS18_CO_10016,1,0.515128431
2012987,NRS18_SC_10008,2,0.566779897
2012988,NRS18_ND_10075,1,1.242944497
2012989,NRS18_ID_10003,1,0.888741385
2012990,NRS18_UT_10046,1,0.942781149
2012991,NRS18_AR_10021,1,0.871453434
2012992,NRS18_CO_10053,1,0.278341124
2012993,NRS18_AR_10027,1,1.081491412
2012994,NRS18_MS_10003,1,0.963846809
2012995,NRS18_MS_10014,1,0.654457534
2012999,NRS18_RI_10004,1,0.359962594
2013000,NRS18_CO_10071,1,0.965803005
2013001,NRS18_OR_10020,1,1.160810775
2013002,NRS18_KS_10091,1,1.352845545
2013003,NRS18_IL_10001,2,1.241145041
2013006,NRS18_ID_10245,1,1.193465009
2013007,NRS18_WI_10047,1,0.949905924
2013008,NRS18_NE_10038,1,0.652882243
2013009,NRS18_CO_10063,1,0.489162361
2013010,NRS18_GA_10027,1,0.735211954
2013011,NRS18_RI_10009,1,0.444598535
2013012,NRS18_MS_10009,1,0.543499882
2013013,NRS18_TX_10038,1,0.836377321
2013014,NRS18_VT_10184,1,0.734002299
2013015,NRS18_IL_10004,1,1.182953418
2013016,NRS18_SD_10023,1,0.427593407
2013017,NRS18_AR_10007,1,1.133168399
2013018,NRS18_CA_10389,1,1.05548793
2013019,NRS18_VT_10008,1,1.153335666
2013020,NRS18_ID_10842,1,0.958340185
2013021,NRS18_NE_10034,1,0.8297111
2013022,NRS18_WI_10004,1,1.066391791
2013023,NRS18_ND_10019,1,1.242824976
2013024,NRS18_MA_10007,1,0.135872587
2013025,NRS18_TX_10040,1,0.559178292
2013026,NRS18_MS_10012,1,0.124000419
2013027,NRS18_CO_11278,1,0.650679069
2013028,NRS18_AR_10002,2,0.391228325
2013029,NRS18_AR_10010,2,0.586842487
2013030,NRS18_MO_10014,1,0.194893783
2013031,NRS18_OK_10019,1,1.323252237
2013032,NRS18_NH_10020,1,0.582674988
2013033,NRS18_KY_10026,1,0.771109569
2013036,NRS18_FL_10009,1,0.52923067
2013037,NRS18_CO_10050,1,0.39119225
2013038,NRS18_MO_10013,1,0.992561344
2013039,NRS18_ND_10011,1,1.245465451
2013040,NRS18_NE_10037,1,1.167749274
2013041,NRS18_RI_10017,1,0.752359484
2013043,NRS18_OR_10004,1,1.086547583
2013044,NRS18_OR_10007,1,1.084012841
2013045,NRS18_CO_11725,1,0.89997982
2013046,NRS18_IL_10033,1,0.937909274
2013047,NRS18_MN_RF002,1,0.817846604
2013048,NRS18_OH_10037,2,0.518348618
2013049,NRS18_PA_10002,2,0.646516928
2013050,NRS18_PA_10016,2,0.508118195
2013051,NRS18_TX_10039,1,0.780883114
2013052,NRS18_AR_10192,1,0.494082058
2013053,NRS18_IL_10015,1,0.764629661
2013054,NRS18_MI_10022,1,0.967675054
2013055,NRS18_CO_10021,1,0.373644995
2013056,NRS18_CO_10033,1,0.49477066
2013057,NRS18_RI_10192,1,0.210089755
2013058,NRS18_GA_10022,1,0.573272456
2013059,NRS18_CO_10070,1,0.498270615
2013060,NRS18_CO_10024,1,1.005706413
2013061,NRS18_SC_10020,1,0.493782819
2013062,NRS18_AR_10034,1,0.780940811
2013063,NRS18_MA_10006,1,0.676105475
2013071,NRS18_WI_10007,1,1.226472189
2013072,NRS18_RI_10008,1,0.641760421
2013073,NRS18_IN_10013,1,0.895578499
2013074,NRS18_CO_10523,1,0.256089438
2013075,NRS18_MO_10027,1,0.604575025
2013076,NRS18_CO_10011,1,0.503888137
2013077,NRS18_SC_10781,1,0.501548445
2013078,NRS18_OH_10009,1,0.372497482
2013079,NRS18_NH_10007,1,0.802598146
2013080,NRS18_CO_10975,1,0.125226713
2013081,NRS18_MI_10005,1,0.957430565
2013082,NRS18_VT_10001,2,1.266267823
2013083,NRS18_ND_10004,1,1.028989914
2013084,NRS18_NY_10038,1,0.862958117
2013085,NRS18_NE_10009,1,0.670761776
2013086,NRS18_IN_10010,1,1.122364696
2013087,NRS18_OH_10032,1,0.869232408
2013088,NRS18_CO_10046,1,1.306308793
2013089,NRS18_SC_10012,1,0.368856218
2013090,NRS18_MO_10009,1,0.195031149
2013091,NRS18_OK_10007,1,0.697276366
2013092,NRS18_CT_10006,1,1.088109342
2013093,NRS18_OK_10009,1,0.557821093
2013094,NRS18_OR_10002,1,1.080530812
2013095,NRS18_NY_10026,1,0.268413888
2013096,NRS18_VT_10015,1,0.881322981
2013097,NRS18_IN_10001,1,1.15583404
2013098,NRS18_WA_10522,1,1.220100004
2013099,NRS18_WA_10008,1,0.383917565
2013100,NRS18_WA_10024,1,0.23705913
2013101,NRS18_WA_10026,1,0.480003134
2013102,NRS18_WA_10040,1,0.118668974
2013103,NRS18_WA_10039,1,0.355675344
2013104,NRS18_NE_10024,1,0.941909079
2013105,NRS18_PA_10005,1,1.035515723
2013106,NRS18_TN_10002,1,0.412325824
2013107,NRS18_WI_10035,1,1.264641399
2013108,NRS18_WI_10066,1,1.419923122
2013109,NRS18_VA_10003,1,0.814602737
2013110,NRS18_CO_10020,1,0.62964389
2013111,NRS18_OH_10019,1,0.521454266
2013112,NRS18_SC_10005,1,0
2013113,NRS18_MO_10040,1,1.131072702
2013114,NRS18_SD_10029,1,1.135931044
2013115,NRS18_CO_10009,1,0.720878135
2013116,NRS18_NJ_10019,1,0.605488495
2013117,NRS18_ID_10057,1,1.287564891
2013118,NRS18_ID_10095,1,0.862957774
2013119,NRS18_ID_10280,1,0.870729969
2013120,NRS18_VT_10013,1,0.717040185
2013121,NRS18_TX_10004,1,0.75220487
2013122,NRS18_TX_10035,1,0.787368533
2013123,NRS18_NY_10014,1,0.676904963
2013124,NRS18_TN_10016,1,0.141642654
2013125,NRS18_OR_10011,1,1.070346867
2013127,NRS18_IN_10008,2,1.222430981
2013128,NRS18_ND_10001,2,1.525188401
2013129,NRS18_PA_10017,1,0.880890343
2013130,NRS18_CO_10974,1,0
2013131,NRS18_MA_10011,1,1.024998267
2013132,NRS18_CO_11423,1,0.810238525
2013133,NRS18_OH_10034,1,0.445101617
2013134,NRS18_SD_10018,1,1.316426744
2013135,NRS18_OH_10020,1,1.182611763
2013136,NRS18_OH_10035,1,0.387908887
2013137,NRS18_IN_10005,1,0.809861729
2013138,NRS18_CT_10030,1,1.377750743
2013139,NRS18_NH_10002,2,1.052208474
2013140,NRS18_SC_10180,1,0.232836176
2013141,NRS18_WI_10543,1,1.209244395
2013142,NRS18_FL_10008,1,0.588841902
2013143,NRS18_TN_10007,1,0.2125044
2013144,NRS18_CO_11424,1,1.05481345
2013145,NRS18_TX_10011,1,0.778574818
2013146,NRS18_RI_10022,1,0.344495492
2013151,NRS18_MA_10017,1,0.516292632
2013152,NRS18_CO_10010,1,1.062057246
2013153,NRS18_TX_10010,1,1.070356393
2013154,NRS18_AL_10022,1,0.713650535
2013155,NRS18_RI_10001,1,0.65885481
