"SITE_ID","VISIT_NO","SAMPLE_ID","H2O_dD","H2O_d18O","d.excess"
"NRS18_PA_10217","1",101880,-56.09,-8.72,13.7
"NRS18_PA_10218","1",891880,-62.64,-9.79,15.68
"NRS18_PA_10220","1",124680,-51.66,-8.29,14.63
"NRS18_PA_10816","1",129540,-54.93,-8.58,13.71
"NRS18_PA_RF001","1",120080,-50.5,-8.1,14.3
"NRS18_RI_10001","1",990240,-37.76,-5.77,8.44
"NRS18_RI_10001","2",894740,-38.82,-5.97,8.9
"NRS18_RI_10002","1",109720,-40.46,-6.09,8.27
"NRS18_RI_10002","2",107960,-40.41,-5.98,7.42
"NRS18_RI_10003","1",899040,-46.2,-7.64,14.93
"NRS18_RI_10004","1",104460,-39.61,-6.57,12.96
"NRS18_RI_10005","1",109780,-37.53,-6.1,11.24
"NRS18_RI_10005","2",107740,-38.32,-6.39,12.78
"NRS18_RI_10006","1",104340,-34.63,-5.71,11.04
"NRS18_RI_10006","2",109680,-37.83,-5.9,9.39
"NRS18_RI_10008","1",104440,-40.42,-6.61,12.47
"NRS18_RI_10009","1",105140,-39.39,-6.62,13.58
"NRS18_RI_10017","1",104360,-38.29,-6.18,11.13
"NRS18_RI_10018","1",890160,-45.63,-7.14,11.52
"NRS18_RI_10019","1",895040,-39.71,-5.6,5.06
"NRS18_RI_10020","1",109640,-37.69,-5.91,9.61
"NRS18_RI_10022","1",102660,-45.97,-7.25,12.05
"NRS18_RI_10183","1",890200,-41.21,-7,14.81
"NRS18_RI_10192","1",105100,-37.58,-6.16,11.68
"NRS18_RI_10194","1",890140,-46.42,-7.43,13.02
"NRS18_RI_10197","1",105120,-42.89,-6.23,6.99
"NRS18_RI_10199","1",104280,-40.83,-6.76,13.22
"NRS18_RI_10201","1",107920,-44.8,-6.7,8.84
"NRS18_RI_10202","1",126580,-41.37,-5.95,6.25
"NRS18_SC_10001","1",123440,-5.16,-0.87,1.8
"NRS18_SC_10001","2",123560,-16.29,-3.4,10.93
"NRS18_SC_10002","1",123200,-12.58,-2.33,6.04
"NRS18_SC_10002","2",123360,-14.12,-3.08,10.51
"NRS18_SC_10003","1",123580,-18.7,-3.29,7.61
"NRS18_SC_10004","1",890960,-22.76,-3.95,8.86
"NRS18_SC_10005","1",101800,-23.39,-3.97,8.35
"NRS18_SC_10007","1",885920,-26.48,-5.04,13.83
"NRS18_SC_10007","2",896900,-20.72,-4.21,12.94
"NRS18_SC_10008","1",885720,-27.24,-4.77,10.89
