"SITE_ID","VISIT_NO","AMMONIA_N_RESULT","AMMONIA_N_UNITS","ANC_RESULT","ANC_UNITS","CALCIUM_RESULT","CALCIUM_UNITS","CHLORIDE_RESULT","CHLORIDE_UNITS","COLOR_RESULT","COLOR_UNITS","COND_RESULT","COND_UNITS","DOC_RESULT","DOC_UNITS","MAGNESIUM_RESULT","MAGNESIUM_UNITS","NITRATE_N_RESULT","NITRATE_N_UNITS","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_UNITS","NITRITE_N_RESULT","NITRITE_N_UNITS","NTL_RESULT","NTL_UNITS","PH_RESULT","PH_UNITS","POTASSIUM_RESULT","POTASSIUM_UNITS","PTL_RESULT","PTL_UNITS","SILICA_RESULT","SILICA_UNITS","SODIUM_RESULT","SODIUM_UNITS","SULFATE_RESULT","SULFATE_UNITS","TSS_RESULT","TSS_UNITS","TURB_RESULT","TURB_UNITS"
"NRS18_PA_10032",1,0.03,"mg N/L",57.06,"uEQ/L",1.325,"mg/L",0.281,"mg/L",4,"APHA PT-CO",17.4,"uS/cm at 25 C",2.35,"mg/L",0.781,"mg/L",0.0727,"mg N/L",NA,"","5.00E-04","mg N/L",0.168,"mg N/L",6.61,"Std. Units",0.571,"mg/L",27.091,"ug/L",3.57,"mg/L",0.454,"mg/L",3.424,"mg/L","26.5","mg/L",18.31,"NTU"
"NRS18_VT_10018",1,0.011,"mg N/L",1539.22,"uEQ/L",26.443,"mg/L",14.948,"mg/L",3,"APHA PT-CO",212.9,"uS/cm at 25 C",2.37,"mg/L",4.339,"mg/L",0.2149,"mg N/L",NA,"","4.00E-04","mg N/L",0.448,"mg N/L",8.16,"Std. Units",1.168,"mg/L",11.155,"ug/L",5.882,"mg/L",10.107,"mg/L",5.813,"mg/L","0.9","mg/L",1.76,"NTU"
"NRS18_RI_10006",1,0.026,"mg N/L",205.6,"uEQ/L",5.366,"mg/L",25.956,"mg/L",53,"APHA PT-CO",136,"uS/cm at 25 C",5.65,"mg/L",1.488,"mg/L",0.444,"mg N/L",NA,"","","",0.68,"mg N/L",7.24,"Std. Units",1.537,"mg/L",47,"ug/L",6.761,"mg/L",17.061,"mg/L",5.899,"mg/L","0.8","mg/L",1.28,"NTU"
"NRS18_VT_10009",1,0.004,"mg N/L",3162.63,"uEQ/L",55.741,"mg/L",3.671,"mg/L",7,"APHA PT-CO",311.6,"uS/cm at 25 C",2.59,"mg/L",6.27,"mg/L",0.3982,"mg N/L",NA,"","","",0.573,"mg N/L",8.46,"Std. Units",1.523,"mg/L",6.789,"ug/L",7.573,"mg/L",3.225,"mg/L",7.471,"mg/L","0.6","mg/L",0.23,"NTU"
"NRS18_VT_10012",1,0.012,"mg N/L",2441.88,"uEQ/L",44.786,"mg/L",1.675,"mg/L",12,"APHA PT-CO",243.4,"uS/cm at 25 C",4.66,"mg/L",4.001,"mg/L",0.3251,"mg N/L",NA,"","1.00E-04","mg N/L",0.566,"mg N/L",8.36,"Std. Units",1.246,"mg/L",9.393,"ug/L",8.17,"mg/L",1.988,"mg/L",5.124,"mg/L","1","mg/L",0.53,"NTU"
"NRS18_AR_10014",1,0.013,"mg N/L",212.37,"uEQ/L",1.673,"mg/L",1.112,"mg/L",2,"APHA PT-CO",29.5,"uS/cm at 25 C",0.68,"mg/L",1.234,"mg/L",0.0385,"mg N/L",NA,"","5.00E-04","mg N/L",0.119,"mg N/L",7.31,"Std. Units",1.094,"mg/L",13.181,"ug/L",6.772,"mg/L",1.738,"mg/L",1.655,"mg/L","6.2","mg/L",5.88,"NTU"
"NRS18_IL_10037",1,0.009,"mg N/L",2285.99,"uEQ/L",34.853,"mg/L",5.996,"mg/L",10,"APHA PT-CO",255.8,"uS/cm at 25 C",4.31,"mg/L",7.808,"mg/L",0.0018,"mg N/L",NA,"","","",0.754,"mg N/L",8.13,"Std. Units",2.573,"mg/L",172.439,"ug/L",10.073,"mg/L",5.447,"mg/L",8.642,"mg/L","33.5","mg/L",27.63,"NTU"
"NRS18_PA_10019",1,0.027,"mg N/L",2001.52,"uEQ/L",44.336,"mg/L",10.334,"mg/L",3,"APHA PT-CO",322.7,"uS/cm at 25 C",1.27,"mg/L",9.012,"mg/L",0.3195,"mg N/L",NA,"","","",0.389,"mg N/L",8.06,"Std. Units",1.905,"mg/L",13.889,"ug/L",5.366,"mg/L",6.27,"mg/L",43.758,"mg/L","4.4","mg/L",4.74,"NTU"
"NRS18_WI_10046",1,NA,"",3720,"uEQ/L",41.6,"mg/L",9.97,"mg/L",10,"APHA PT-CO",403,"uS/cm",NA,"",23.8,"mg/L",1.2,"mg N/L",1.21,"mg N/L","","",1.55,"mg N/L",8.45,"Std. Units",1.12,"mg/L",15,"ug/L",10.4,"mg/L",3.37,"mg/L",7.85,"mg/L","","",1.24,"NTU"
"NRS18_WI_10263",1,0.0231,"mg N/L",3960,"uEQ/L",45.6,"mg/L",10.8,"mg/L",40,"APHA PT-CO",422,"uS/cm",5.84,"mg/L",24.4,"mg/L",NA,"",0.267,"mg N/L","","",0.631,"mg N/L",8.28,"Std. Units",0.9,"mg/L",23.8,"ug/L",16.7,"mg/L",5.33,"mg/L",10.1,"mg/L","3.4","mg/L",2.55,"NTU"
