"SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE_OLD"
"FW08SD027",1,80.48,1.203735688
"FW08SD029",1,18.03,0.723212451
"FW08SD039",1,38.85,1.325494506
"FW08SD023",1,44.75,0.864413691
"FW08SD019",1,7.15,0.125370956
"FW08SD043",1,46.38,0.865118911
"FW08SD041",1,49.82,0.638318204
"FW08SD046",1,62.65,1.210717528
"FW08SD049",1,53.87,0.825629323
"FW08SD052",1,25.6,0.567589077
"FW08SD054",1,44.25,0.583285588
"FW08SD058",1,40.68,0.624947638
"FW08SD063",1,NA,NA
"FW08PA035",1,23.95,0.539467372
"FW08SD071",1,35.92,0.548295792
"FW08SD061",1,53.28,0.890039653
"FW08SD057",1,24.5,1.047807249
"FW08CA001",2,65.02,0.991977076
"FW08CA004",1,29.45,0.341046638
"FW08CA004",2,27.33,0.170523319
"FW08CA006",1,45.08,0.879962533
"FW08CA007",1,73.9,0.915570035
"FW08CA010",1,79.62,1.010417822
"FW08CA011",1,70.72,0.889724344
"FW08CA012",1,43.77,0.883685402
"FW08CA013",1,71.47,1.057996644
"FW08CA016",1,71.95,0.95632168
"FW08CA017",1,46.5,0.227975635
"FW08CA075",1,60.9,0.975354569
"FW08ND026",1,39.82,1.009802706
"FW08ND049",2,37.37,0.838007932
"FW08ND043",2,13.25,0.563865614
"FW08ND007",1,36.73,1.081894654
"FW08RND9033",1,32.42,1.196157148
"FW08RND9138",1,43.48,1.356049849
"FW08RND010458",1,67.1,1.227248497
"FW08RND010456",1,42.67,0.854634623
"FW08RND010460",1,51.25,1.016622152
"FW08ND001",1,55.63,0.973826343
"FW08ND003",1,24.75,1.056562214
"FW08ND004",1,46.52,1.233788824
"FW08ND005",1,79.02,1.121166607
"FW08ND005",2,75.77,0.779254907
"FW08ND006",1,43.42,0.777210424
"FW08ND006",2,51.03,1.554420847
"FW08ND010",1,31.88,1.189074524
"FW08ND012",1,29.03,0.994285916
"FW08ND013",1,33.57,0.882657191
"FW08ND015",1,50.97,1.260069305
"FW08ND017",1,68.32,0.974729024
"FW08ND029",1,36.47,0.52479007
"FW08ND031",1,24.75,0.800496779
"FW08ND021",1,29.77,0.834507433
"FW08ND032",1,34.87,0.589897701
"FW08ND033",1,43.67,1.266891972
"FW08ND034",1,39.12,0.996570413
"FW08ND035",1,38.07,0.45090451
"FW08ND036",1,41.2,0.700511498
"FW08ND039",1,4.17,0.587058959
"FW08ND040",1,75,1.041486853
"FW08ND028",1,57.85,1.535216253
"FW08ND022",1,45.02,1.051456863
"FW08ND024",1,51.3,0.88554987
"FW08ND027",1,24.78,0.339318562
"FW08ND043",1,16.53,0.78941186
"FW08ND044",1,19.2,0.823806538
"FW08ND049",1,38.88,0.942758924
"FW08ND052",1,54.93,1.246762717
"FW08ND055",1,12.1,0.472177668
"FW08ND056",1,33.55,1.313326391
"FW08ND057",1,53.27,1.110280595
"FW08ND060",1,58.92,1.272020992
"FW08ND061",1,61.17,0.743000005
"FW08ND063",1,32.37,0.781811756
"FW08NE021",1,33.6,0.109319713
"FW08NE037",1,66.45,1.145779267
"FW08NE001",1,37.53,0.451229797
"FW08NE010",1,47.6,0.868042479
"FW08NE012",1,43.03,0.573693189
"FW08NE013",1,38.18,0.374026858
"FW08NE014",1,79.22,0.636122712
"FW08NE017",1,16.45,0.146187266
"FW08NE027",1,33.23,0.182981565
"FW08NE024",1,44.83,0.320138083
"FW08NE026",1,9.6,0
"FW08NE030",1,12.58,0.105950113
"FW08NE040",1,63.43,0.739233607
"FW08NE045",1,40.7,0.688501426
"FW08NE056",1,37.3,0.215088428
"FW08NE060",1,19.15,1.164899594
"FW08NM001",1,48.57,1.175831995
"FW08NM002",1,27.97,0.796013651
"FW08NM003",1,36.95,0.919465959
"FW08NM012",1,53.62,1.248487006
"FW08NM013",1,26.57,0.48649585
"FW08NM018",1,0,NA
"FW08NM025",1,62,1.017633225
"FW08NM061",1,35.35,1.27661908
"FW08NM064",1,39.45,0.966270711
"FW08NM069",1,31.65,1.187766335
"FW08NM070",1,0,0.138719185
"FW08RNM9001",1,38.38,0.965844701
"FW08RNM9002",1,59.48,1.085381686
"FW08RNM9004",1,29.47,1.041750566
"FW08RNM9030",1,61.75,0.853673182
"FW08RNM9049",1,23,0.61131526
"FW08RNM9060",1,70.87,1.020602419
"FW08RNM9081",1,51.52,1.239071716
"FW08WI021",1,15.52,0.568338852
"FW08WI021",2,15.37,0.649530116
"FW08WI029",1,38.22,0.694902525
"FW08WI030",1,23.15,0.501188388
"FW08WI033",1,39.72,0.967753711
"FW08WI053",1,41.15,0.791198452
"FW08WI034",1,34.7,1.098689797
"FW08RWI9225",1,44.55,0.85809802
"FW08WI031",1,45.43,1.065203564
"FW08WI022",1,44.3,1.127073975
"FW08WI022",2,NA,NA
"FW08WI049",1,38.98,0.591811266
"FW08WI050",1,48.73,1.017593208
"FW08WI054",1,NA,NA
"FW08RWI9226",1,17.2,0.472431794
"FW08WI036",1,30.3,0.985789209
"FW08WI040",1,57.97,0.780647583
"FW08WI041",1,44.2,0.561598593
"FW08WI044",1,24.5,0.69087214
"FW08WI046",1,8.68,0.585777175
"FW08WI051",1,30.65,1.08607556
"FW08WI055",1,39.97,0.800851705
"FW08WI048",1,28.95,1.105770918
"FW08RIL2CA08",1,21.97,0.830752524
"FW08RIL2DJE02",1,37,1.250463208
"FW08RIL9002",1,80.72,0.69287703
"FW08RIL2ICE01",1,55.43,1.113243348
"FW08KS008",1,54.38,0.753761096
"FW08KS021",1,18.13,0.810985973
"FW08KS022",1,51.23,0.605583941
"FW08RIL2AK07",1,28.87,0.387579086
"FW08KS018",1,68.02,1.403532818
"FW08KS038",1,37.18,1.455299646
"FW08KS040",1,61.23,1.144766671
"FW08KS042",1,16.82,0.652433395
"FW08KS043",1,63.42,1.205434572
"FW08WY008",1,70.83,1.217095989
