"SITE_ID","VISIT_NO","SAMPLE_ID","dD..vsmow.","d18O..vsmow.","d.excess"
"FW08VA038","2",549431,-30.9,-4.99,9.04
"FW08VA039","1",541671,-32.56,-5.3,9.85
"FW08VA040","1",542711,-29.9,-3.97,1.89
"FW08VA041","1",541651,-42.25,-6.57,10.27
"FW08VA042","1",534351,-38.82,-6.36,12.07
"FW08VA044","1",542511,-27.33,-4.35,7.5
"FW08VA045","1",552741,-40.02,-6.69,13.47
"FW08VA046","1",542571,-42.51,-6.75,11.49
"FW08VA047","1",541791,-32.93,-5.55,11.44
"FW08VA048","1",542501,-29.57,-4.79,8.74
"FW08VT001","1",523141,-70.96,-10.58,13.71
"FW08VT002","1",528291,-62.57,-9.65,14.61
"FW08VT003","1",528551,-71.54,-10.53,12.68
"FW08VT004","1",523121,-71.59,-9.99,8.29
"FW08VT005","2",522311,-79.42,-11.61,13.45
"FW08VT005","2",524061,-79.65,-11.65,13.57
"FW08VT005","1",524471,-78.67,-11.82,15.88
"FW08VT006","2",529601,-64.75,-9.42,10.59
"FW08VT006","1",529161,-65.94,-9.61,10.9
"FW08VT006","2",534521,-64.79,-9.51,11.32
"FW08VT007","1",531091,-67.81,-10.34,14.94
"FW08VT008","1",525861,-48.98,-7.71,12.71
"FW08VT009","1",532491,-67.7,-10.12,13.26
"FW08VT010","1",528281,-54.73,-8.62,14.23
"FW08VT011","1",532961,-70.18,-10.06,10.31
"FW08VT011","2",532071,-70.38,-10.27,11.81
"FW08VT011","2",527601,-70.37,-10.3,12.03
"FW08VT012","1",543841,-61.21,-9.29,13.08
"FW08VT013","1",528911,-65.89,-9.38,9.16
"FW08VT014","1",528961,-70.34,-10.14,10.81
"FW08VT015","1",544001,-68.9,-10.45,14.69
"FW08VT016","1",529871,-67.88,-10.08,12.78
"FW08VT017","1",543891,-79.96,-11.67,13.36
"FW08VT018","1",527471,-70.8,-10.19,10.76
"FW08VT019","1",556621,-77.27,-10.91,10.03
"FW08VT020","1",543871,-74.21,-11.12,14.78
"FW08VT021","1",543881,-76.64,-11.2,12.94
"FW08VT021","2",544011,-75.87,-11.45,15.71
"FW08VT021","2",552191,-75.74,-11.44,15.77
"FW08VT022","1",534541,-58.66,-8.93,12.74
"FW08VT024","1",543861,-63.82,-9.97,15.96
"FW08VT025","1",543851,-68.58,-10.21,13.1
