"UNIQUE_ID","DATE_COL","phdi_month","phdi_mean"
"NRS_SD-10306",2008-09-12,4.11,1.86833333333333
"NRS_SD-10320",2008-09-18,3.91,2.45916666666667
"NRS_SD-10321",2008-07-31,3.46,1.1125
"NRS_SD-10324",2008-09-17,3.91,2.45916666666667
"NRS_SD-10326",2008-09-17,3.65,1.1125
"NRS_TN-10036",2008-09-09,-4.07,-4.09583333333333
"NRS_TN-10036",2008-10-05,-4.17,-4.09583333333333
"NRS_TN-10009",2008-09-11,-4.07,-4.09583333333333
"NRS_TN-10009",2008-10-07,-4.17,-4.09583333333333
"NRS_TN-10006",2008-10-02,-1.98,-2.29916666666667
"NRS_TN-10053",2008-09-12,-4.07,-4.09583333333333
"NRS_TN-10064",2008-09-29,-1.78,-0.283333333333333
"NRS_TN-10065",2008-09-28,-2.53,-2.29916666666667
"NRS_TN-10071",2008-09-27,-2.53,-2.29916666666667
"NRS_TN-10072",2008-10-01,-1.98,-2.29916666666667
"NRS_TN-10074",2008-09-03,-4.07,-4.09583333333333
"NRS_TN-10076",2008-09-30,-2.53,-2.29916666666667
"NRS_TN-10078",2008-09-06,-4.07,-4.09583333333333
"NRS_TN-10082",2008-09-10,-4.07,-4.09583333333333
"NRS_TN-10090",2008-10-01,-1.37,-0.283333333333333
"NRS_TN-10095",2008-07-15,1,-0.283333333333333
"NRS_TN-10096",2008-09-09,-1.78,-0.283333333333333
"NRS_TN-10097",2008-09-11,-1.78,-0.283333333333333
"NRS_TN-10098",2008-09-28,-1.78,-0.283333333333333
"NRS_TN-10099",2008-09-08,-1.78,-0.283333333333333
"NRS_TN-10100",2008-09-07,-1.78,-0.283333333333333
"NRS_TX-10033",2008-07-02,-3.5,-0.696666666666667
"NRS_TX-10051",2008-07-09,-1.89,0.07
"NRS_TX-10065",2008-08-28,-2.78,-1.67666666666667
"NRS_TX-10016",2008-07-06,-3.5,-0.696666666666667
"NRS_TX-10019",2008-06-30,-0.89,0.52
"NRS_TX-10073",2008-08-26,1.17,0.52
"NRS_TX-10010",2008-08-28,-0.82,0.07
"NRS_TX-10059",2008-07-05,-1.89,0.07
"NRS_TX-10030",2008-08-24,1.17,0.52
"NRS_TX-10097",2008-07-08,-1.89,0.07
"NRS_TX-10113",2008-08-27,-0.82,0.07
"NRS_TX-10140",2008-08-30,-2.26,-0.696666666666667
"NRS_UT-10120",2008-07-02,-1.72,-2.08083333333333
"NRS_UT-10120",2008-08-27,-1.92,-2.08083333333333
"NRS_UT-10056",2008-07-09,-0.97,-1.27
"NRS_UT-10149",2008-09-09,-1.73,-1.27
"NRS_UT-10119",2008-09-24,-1.73,-1.27
"NRS_UT-10014",2008-09-03,-1.26,-1.27333333333333
"NRS_UT-10122",2008-07-10,-1.19,-1.67333333333333
"NRS_UT-10118",2008-09-17,-1.02,0.2025
"NRS_UT-10150",2008-07-15,-2.86,-2.705
"NRS_UT-10018",2008-08-05,-1.28,-1.27
"NRS_UT-10063",2008-08-13,-1.38,-1.27333333333333
"NRS_UT-10255",2008-06-25,-0.97,-1.27333333333333
"NRS_UT-10278",2008-09-16,-1.02,0.2025
"NRS_UT-10280",2008-09-23,-1.73,-1.27
"NRS_UT-10281",2008-08-19,-0.52,0.2025
"NRS_UT-10292",2008-09-10,-1.73,-1.27
"NRS_UT-10298",2008-06-24,-0.97,-1.27333333333333
