UID,UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,YEAR,UNIQUE_ID,DSGN_CYCLE,SAMPLE_ID,H2O_dD,H2O_d18O,d-excess,LAT_DD83,LON_DD83,ELEVATION
2013984,1001570,4/7/2021,NRS18_CA_10019,7/8/2019,2,2019,NRS_CA-10895,2018-19,117300,-78.79,-11.41,12.46,39.61321394,-121.7793686,42.26
2012841,1000366,4/7/2021,NRS18_CA_10020,7/10/2018,1,2018,NRS_CA-10930,2018-19,899680,-93.73,-12.95,9.9,36.90881725,-119.776228,81.595
2013202,1000728,4/7/2021,NRS18_CA_10020,8/6/2018,2,2018,NRS_CA-10930,2018-19,899640,-95.71,-13.23,10.13,36.90881725,-119.776228,81.595
2012908,1000433,4/7/2021,NRS18_CA_10021,7/16/2018,1,2018,NRS_CA-11009,2018-19,897580,-73.99,-10.68,11.43,38.7323225,-120.4784002,1117.215
2012719,1000243,4/7/2021,NRS18_CA_10022,6/26/2018,1,2018,NRS_CA-11011,2018-19,896160,-76.92,-10.91,10.37,40.63704573,-122.7464935,857.605
2014084,1001671,4/7/2021,NRS18_CA_10024,7/16/2019,1,2019,NRS_CA-11054,2018-19,111820,-85.75,-12.14,11.33,37.11440804,-119.1692797,2128.02
2013787,1001370,4/7/2021,NRS18_CA_10025,6/11/2019,1,2019,NRS_CA-10897,2018-19,113540,-55.75,-8.16,9.5,33.93082114,-117.5939787,169.37
2013902,1001486,4/7/2021,NRS18_CA_10026,6/25/2019,1,2019,NRS_CA-10906,2018-19,117080,-45.22,-7.49,14.67,39.75738715,-123.7248447,385.075
2014676,1002266,4/7/2021,NRS18_CA_10027,9/17/2019,1,2019,NRS_CA-10907,2018-19,134820,-114.57,-15.57,9.98,38.36417172,-119.4447781,2049.555
2012885,1000410,4/7/2021,NRS18_CA_10028,7/12/2018,1,2018,NRS_CA-10910,2018-19,897600,-127.77,-16.91,7.55,37.89016045,-118.7154419,2029.08
2012675,1000199,4/7/2021,NRS18_CA_10029,6/21/2018,1,2018,NRS_CA-10946,2018-19,883780,-77.24,-10.81,9.26,38.12112691,-121.5295529,0
2012900,1000425,4/7/2021,NRS18_CA_10030,7/16/2018,1,2018,NRS_CA-10948,2018-19,886940,-83.56,-11.44,7.99,37.39212728,-120.7909185,21.86
2012579,1000099,4/7/2021,NRS18_CA_10031,6/12/2018,1,2018,NRS_CA-10949,2018-19,883240,-62.37,-8.79,7.92,38.18245145,-120.701042,219.175
2012570,1000090,4/7/2021,NRS18_CA_10032,6/12/2018,1,2018,NRS_CA-10953,2018-19,883840,-79.67,-11.03,8.56,38.15220247,-121.2840803,12.94
2012582,1000104,4/7/2021,NRS18_CA_10033,6/13/2018,1,2018,NRS_CA-10931,2018-19,883720,-80.43,-11.35,10.41,37.90975908,-121.3253004,5.45
2014028,1001615,4/7/2021,NRS18_CA_10034,7/10/2019,1,2019,NRS_CA-10932,2018-19,117140,-88,-11.72,5.78,41.27034641,-123.603967,92.83
2012557,1000074,4/7/2021,NRS18_CA_10035,6/11/2018,1,2018,NRS_CA-10934,2018-19,883860,-72.71,-9.59,4.01,37.55587666,-121.1504748,9.02
2012627,1000151,4/7/2021,NRS18_CA_10036,6/18/2018,1,2018,NRS_CA-10935,2018-19,883800,-76.74,-11.27,13.41,38.435007,-121.5249089,3.08
2012533,1000046,4/7/2021,NRS18_CA_10048,6/5/2018,1,2018,NRS_CA-11197,2018-19,883320,-16.62,-0.63,-11.62,33.26659717,-116.8176623,737.2
2013824,1001407,4/7/2021,NRS18_CA_10049,6/17/2019,1,2019,NRS_CA-11198,2018-19,117620,-89.41,-11.31,1.09,39.80389788,-120.3762174,1485.24
2012635,1000159,4/7/2021,NRS18_CA_10052,6/19/2018,1,2018,NRS_CA-11201,2018-19,883820,-77.02,-10.71,8.68,38.20358832,-121.4779461,0
2012600,1000123,4/7/2021,NRS18_CA_10054,6/14/2018,1,2018,NRS_CA-11203,2018-19,883760,-78.75,-10.85,8.01,37.95233572,-121.339221,5.38
