SITE_ID,YEAR,VISIT_NO,UNIQUE_ID,ECOWSA9,RT_WQI,CL_pt,SO4_pt,PTL_pt,NTL_pt,TURB_pt,ENTERO_PT,DO_PT,PH_PT,NUMVARN,WQII
NRS18_AL_10039,2019,1,NRS_AL-10101,CPL,S,10,10,10,0,10,10,10,10,8,87.50
NRS18_AL_10188,2019,1,NRS_AL-10102,SAP,S,9.964083231,2.305997361,5.532069971,9.547169811,0,10,6,10,8,66.69
NRS18_AL_10189,2019,1,NRS_AL-10103,SAP,T,5.616632312,10,10,0,4.027459954,0,10,10,8,62.06
NRS18_AL_10191,2019,1,NRS_AL-10105,SAP,R,10,10,10,10,10,10,10,10,8,100.00
NRS18_AL_10638,2019,1,NRS_AL-10106,CPL,S,10,9.137006457,5.8504,10,0,10,9.05,10,8,80.05
NRS18_AL_10938,2019,1,NRS_AL-10107,CPL,R,10,10,10,10,10,10,10,10,8,100.00
NRS18_AL_11088,2019,1,NRS_AL-10108,SAP,S,9.344398258,10,0,5.660377358,0,10,10,10,8,68.76
NRS18_AL_RF001,2018,1,NRS_AL-10109,SAP,R,10,10,10,10,10,10,10,10,8,100.00
NRS18_AL_RF002,2019,1,NRS_AL-10110,SAP,R,10,10,2.060349854,10,0,10,10,10,8,77.58
FW08AR007,2008,1,NRS_AR-10016,SAP,R,9.329998799,10,9.102944606,0,0,10,10,10,8,73.04
FW08AR006,2009,1,NRS_AR-10017,SAP,R,10,10,0,0.301886792,0,0,10,10,8,50.38
FW08AR003,2009,1,NRS_AR-10019,SAP,S,6.483987988,10,0,0,9.016018307,10,10,10,8,69.38
FW08AR003,2009,2,NRS_AR-10019,SAP,S,5.848717718,10,4.85148688,0,10,10,10,10,8,75.88
FW08AR001,2009,1,NRS_AR-10025,CPL,S,7.170502256,4.366241929,6.896857143,10,9.890243902,10,10,10,8,85.40
FW08AR001,2009,2,NRS_AR-10025,CPL,S,7.149294737,3.111485149,0,10,5.646341463,10,7.5,10,8,66.76
FW08AR008,2008,1,NRS_AR-10026,CPL,S,10,10,10,10,10,10,10,10,8,100.00
FW08AR004,2008,1,NRS_AR-10040,SAP,R,10,10,10,10,8.581235698,10,10,10,8,98.23
FW08AR002,2009,1,NRS_AR-10052,CPL,S,10,10,0,0,0.097560976,10,0,10,8,50.12
FW08AR002,2009,2,NRS_AR-10052,CPL,S,10,10,0,0,0,0,0,10,8,37.50
FW08AR009,2008,1,NRS_AR-10055,CPL,S,10,10,5.746708571,8.451612903,0.134146341,0,10,10,8,67.92
FW08AR010,2008,1,NRS_AR-10057,CPL,S,0,0,0,0,,10,10,,6,
ARR9-0901,2013,1,NRS_AR-10057,CPL,S,0,0,4.114285714,7.032258065,9.512195122,10,10,,7,58.08
ARR9-0901,2013,2,NRS_AR-10057,CPL,S,0,0,1.028571429,0,3.658536585,10,10,,7,35.27
NRS18_AR_10002,2018,1,NRS_AR-10057,CPL,S,0,0,0,0,0,10,10,10,8,37.50
