PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,YEAR,DATE_COL,AGGR_ECO9_2015,SAMPLE_TYPE,BENT_SAMPLE_TYPE,BENT_MMI_COND,OE_COND,SAMPLED_BENT,MMI_BENT,OE_SCORE,COMP_PT,DIVS_PT,FEED_PT,HABT_PT,RICH_PT,TOLR_PT,BURRPTAX,CHIRPTAX,CLNGNTAX,CLNGPTAX,DOM5PIND,EPHENTAX,EPHEPTAX,EPT_NTAX,EPT_PIND,EPT_PTAX,HPRIME,INTLNTAX,NOINPIND,NTOLNTAX,NTOLPTAX,SCRPNTAX,SHRDNTAX,STOLPTAX,TOLRPTAX
9/2/2015,14505,FW08NM019,1,2009,28-May-09,WMT,BENT,BERWW,Poor,O/E>0.9,YES,31.4,0.998927389,4.36,2,4.29,3.18,4.71,0.3,,,,40.54,73.96,,,14,,37.84,,,,,,4,,,24.32
9/2/2015,14506,FW08NM022,1,2009,16-May-09,XER,BENT,BELGB,Fair,O/E>0.9,YES,51.67,1.389777949,10,2.7,1.43,5.02,3.53,8.32,,,,40.91,79.44,,,7,,,,,2,,,1,,,9.09
9/2/2015,14507,FW08NM022,2,2009,4-Jun-09,XER,BENT,BELGB,Fair,O/E>0.9,YES,44.25,0.972844564,9.59,0.32,2.86,5.84,2.94,5,,,,45,90.78,,,6,,,,,4.67,,,2,,,20
9/2/2015,14508,FW08NM023,1,2009,20-May-09,SPL,BENT,BERWW,Poor,O/E<0.9,YES,20.62,0.83925407,1.16,5.59,0,0,1.33,4.29,36.36,,,,,,,3,8.23,,2.34,4,,,,0,,,
9/2/2015,14509,FW08NM024,1,2009,21-May-09,XER,BENT,BELGB,Good,O/E<0.9,YES,59.15,0.881851506,10,2.69,5.71,3.51,5.88,7.7,,,,33.33,79.51,,,11,,,,,2.33,,,4,,,11.11
9/2/2015,14510,FW08NM026,1,2009,24-May-09,XER,BENT,BELGB,Fair,O/E<0.8,YES,54.37,0.559555862,10,1.31,4.29,3.51,4.12,9.39,,,,33.33,86.06,,,8,,,,,1,,,3,,,5.56
9/2/2015,14511,FW08NM027,1,2009,18-May-09,XER,BENT,BERWW,Poor,O/E<0.5,YES,26.63,0.181703484,7.04,0.31,4.29,4.34,0,0,,,,37.5,90.81,,,1,,,,,13,,,3,,,37.5
9/2/2015,14512,FW08NM031,1,2009,29-May-09,WMT,BENT,BERWW,Poor,O/E>0.9,YES,30.92,1.206791818,2.53,5.01,2.86,2.54,2.94,2.67,,,,37.84,61.42,,,11,,29.73,,,,,,3,,,18.92
9/2/2015,14513,FW08NM034,1,2009,22-May-09,XER,BENT,BELGB,Fair,O/E<0.8,YES,47.43,0.545804249,10,0,4.29,2.17,2.94,9.06,,,,26.67,95.37,,,6,,,,,0.67,,,3,,,6.67
9/2/2015,14514,FW08NM035,1,2009,24-May-09,WMT,BENT,BERWW,Fair,O/E>0.9,YES,49.98,1.314031486,3.81,4.44,10,3.44,6.47,1.83,,,,41.67,63.77,,,17,,35.42,,,,,,9,,,20.83
