,O,E,OoverE,Onull,Enull,OoverE.null,BC,BC.null
143820,17,12.98300023,1.309404583,10,7.693617021,1.299778761,0.220427417,0.262626263
143821,17,14.41898212,1.179001392,11,7.693617021,1.429756637,0.197300091,0.233781015
143823,12,10.02714622,1.196751273,10,7.693617021,1.299778761,0.270058051,0.261183261
144014,13,9.807398118,1.325529956,10,7.693617021,1.299778761,0.240325048,0.266955267
144040,7,7.952161268,0.880263838,8,7.693617021,1.039823009,0.34331399,0.303687636
144160,13,12.89642235,1.008031503,10,7.693617021,1.299778761,0.306872637,0.262626263
144161,10,8.87100547,1.127267933,7,7.693617021,0.909845133,0.248515543,0.32406603
144172,0,14.15256035,0,0,7.693617021,0,1,1
144311,2,6.040682325,0.331088426,3,7.693617021,0.389933628,0.673851719,0.650616793
144312,14,13.56699753,1.031915865,11,7.693617021,1.429756637,0.253431115,0.245162759
144350,11,9.903815193,1.110683084,9,7.693617021,1.169800885,0.283112045,0.282182004
144490,14,12.13488601,1.153698518,8,7.693617021,1.039823009,0.260970931,0.294468547
144551,8,7.11256817,1.124769536,7,7.693617021,0.909845133,0.314305714,0.375615407
144553,1,6.742215284,0.148319203,2,7.693617021,0.259955752,0.799626751,0.745390694
144561,12,13.45905853,0.891592824,9,7.693617021,1.169800885,0.340193519,0.293907724
144562,12,11.54795389,1.039145126,8,7.693617021,1.039823009,0.32838675,0.32483731
144563,10,10.54470681,0.948343105,8,7.693617021,1.039823009,0.288921016,0.302603037
144620,6,8.134522888,0.73759704,6,7.693617021,0.779867257,0.391818431,0.423244251
144640,11,9.085711572,1.210692185,10,7.693617021,1.299778761,0.289197634,0.277537278
144650,14,10.22553194,1.369121927,9,7.693617021,1.169800885,0.274500036,0.293907724
144731,11,7.064301678,1.557124894,11,7.693617021,1.429756637,0.217871601,0.231049397
144732,7,9.130904376,0.766627238,6,7.693617021,0.779867257,0.379079012,0.388440025
144733,14,11.29327746,1.239675554,10,7.693617021,1.299778761,0.272522756,0.293891294
144734,9,9.90578755,0.908559764,9,7.693617021,1.169800885,0.345071754,0.287789957
144735,8,9.096469919,0.879462041,6,7.693617021,0.779867257,0.356547511,0.3691734
144750,9,10.4433942,0.861788785,9,7.693617021,1.169800885,0.341943529,0.267907214
144751,6,8.405554997,0.713813663,4,7.693617021,0.519911504,0.371558159,0.49636099
144752,12,10.67579334,1.124038244,9,7.693617021,1.169800885,0.248381991,0.29084884
144753,8,10.27200665,0.778815695,7,7.693617021,0.909845133,0.417129109,0.387778743
144756,9,6.525739815,1.379153974,10,7.693617021,1.299778761,0.246001957,0.266955267
144771,15,14.36332224,1.044326637,9,7.693617021,1.169800885,0.29078243,0.285240887
144840,9,11.05485668,0.814121816,8,7.693617021,1.039823009,0.423213578,0.374186551
144860,7,10.48432259,0.667663546,9,7.693617021,1.169800885,0.419689892,0.280652562
144880,2,8.978247078,0.222760633,2,7.693617021,0.259955752,0.750350821,0.724319579
144881,12,8.440326907,1.421745879,12,7.693617021,1.559734513,0.230083084,0.218668971
144883,12,10.10727245,1.187263929,9,7.693617021,1.169800885,0.296058218,0.268926842
144885,4,11.36073804,0.352089801,3,7.693617021,0.389933628,0.656659234,0.644249901
144901,9,12.94514544,0.69524132,7,7.693617021,0.909845133,0.406909975,0.420793513
144904,4,10.1524817,0.393992338,3,7.693617021,0.389933628,0.596385831,0.59172304
144931,8,12.61592571,0.634119143,8,7.693617021,1.039823009,0.423647904,0.354121475
144970,11,11.10073168,0.990925672,8,7.693617021,1.039823009,0.363464069,0.376355748
144971,8,12.76374895,0.626775098,6,7.693617021,0.779867257,0.467577528,0.383467993
145012,8,7.457965649,1.07267858,8,7.693617021,1.039823009,0.295774106,0.340563991
145013,8,11.32804113,0.706212125,8,7.693617021,1.039823009,0.396628411,0.353036876
145014,6,10.86812184,0.55207331,5,7.693617021,0.649889381,0.524950156,0.456252095
145050,15,12.02036828,1.247881899,10,7.693617021,1.299778761,0.225638297,0.247715248
145061,10,7.81261783,1.279980695,10,7.693617021,1.299778761,0.243677209,0.262626263
145092,9,10.63978,0.845882151,6,7.693617021,0.779867257,0.378211454,0.388440025
145093,14,10.4314923,1.342089856,10,7.693617021,1.299778761,0.252382894,0.262626263
145094,10,8.34271234,1.198650941,10,7.693617021,1.299778761,0.224731135,0.254449254
145160,5,8.143514684,0.613985508,6,7.693617021,0.779867257,0.481580173,0.423244251
145161,7,9.672402409,0.723708517,6,7.693617021,0.779867257,0.460607024,0.425108763
145290,10,10.45070815,0.956872956,9,7.693617021,1.169800885,0.30845087,0.266377772
145332,9,11.82995821,0.760780372,6,7.693617021,0.779867257,0.424934666,0.405220634
145333,7,11.66302717,0.600187232,4,7.693617021,0.519911504,0.481397713,0.553129549
145350,4,10.24619529,0.390388811,3,7.693617021,0.389933628,0.606633927,0.616394747
145354,10,11.34666054,0.881316575,6,7.693617021,0.779867257,0.343083281,0.385332505
145490,9,8.482125686,1.06105478,7,7.693617021,0.909845133,0.303631544,0.359976832
145492,13,10.02091566,1.29728664,11,7.693617021,1.429756637,0.221608643,0.233781015
145495,11,12.16059056,0.904561332,11,7.693617021,1.429756637,0.341355128,0.233781015
145670,5,9.894920392,0.505309775,4,7.693617021,0.519911504,0.503037412,0.490538574
145680,2,7.384059978,0.270853705,2,7.693617021,0.259955752,0.664374044,0.696224759
145710,10,9.089396572,1.100183045,11,7.693617021,1.429756637,0.289372525,0.259276121
145712,5,9.697823671,0.515579595,4,7.693617021,0.519911504,0.510078024,0.498544396
145842,11,8.979900652,1.224957873,7,7.693617021,0.909845133,0.339227956,0.351867941
145843,8,8.92282941,0.896576594,7,7.693617021,0.909845133,0.369318262,0.375615407
145900,10,9.653987972,1.035841357,9,7.693617021,1.169800885,0.331615935,0.314810094
145990,7,9.020291506,0.776028136,7,7.693617021,0.909845133,0.393361658,0.346655083
145991,15,11.10675948,1.350528931,9,7.693617021,1.169800885,0.234523281,0.289829212
146042,8,6.775582748,1.18071025,7,7.693617021,0.909845133,0.257584876,0.338546192
146043,12,8.013247884,1.497520128,11,7.693617021,1.429756637,0.199205653,0.233781015
146044,8,8.135103591,0.983392517,6,7.693617021,0.779867257,0.323613325,0.400870106
146050,13,9.576710116,1.357459905,10,7.693617021,1.299778761,0.265862934,0.277537278
146051,11,10.25551478,1.072593647,8,7.693617021,1.039823009,0.265902148,0.330260304
146100,11,11.37657479,0.966899106,7,7.693617021,0.909845133,0.313476558,0.318853171
146170,8,9.459801174,0.845683736,6,7.693617021,0.779867257,0.387790981,0.395898073
146210,10,7.22250245,1.384561663,10,7.693617021,1.299778761,0.228033471,0.253006253
146230,10,11.12152366,0.899157373,10,7.693617021,1.299778761,0.32349125,0.270803271
146291,13,13.50897901,0.962322911,7,7.693617021,0.909845133,0.298160012,0.354763973
146292,7,11.67417028,0.599614348,6,7.693617021,0.779867257,0.465878223,0.426973275
146293,7,11.67417028,0.599614348,6,7.693617021,0.779867257,0.437973894,0.413300186
146294,11,8.579420186,1.282137926,8,7.693617021,1.039823009,0.1983719,0.319956616
146295,12,9.237213049,1.299093129,10,7.693617021,1.299778761,0.250039719,0.276094276
146390,8,9.531584225,0.839314831,5,7.693617021,0.649889381,0.390951433,0.475695608
146510,8,7.262780997,1.101506434,9,7.693617021,1.169800885,0.296539765,0.29084884
146511,12,9.231469256,1.299901421,9,7.693617021,1.169800885,0.229442751,0.268926842
146512,13,9.084436116,1.431018925,11,7.693617021,1.429756637,0.223918056,0.237423173
146570,5,11.61271744,0.430562444,5,7.693617021,0.649889381,0.566421537,0.479718404
146571,7,10.18434074,0.687329713,7,7.693617021,0.909845133,0.423601098,0.390095569
146573,13,11.26481298,1.154036025,12,7.693617021,1.559734513,0.258455447,0.218668971
146574,8,10.63265201,0.752399307,7,7.693617021,0.909845133,0.387601322,0.338546192
146592,10,9.4983008,1.05281989,8,7.693617021,1.039823009,0.317637849,0.320498915
146593,9,8.500103889,1.058810588,7,7.693617021,0.909845133,0.277675336,0.328699681
146594,5,9.938446127,0.503096755,5,7.693617021,0.649889381,0.475231857,0.420046933
146853,12,12.54271742,0.956730475,8,7.693617021,1.039823009,0.307233612,0.32537961
146854,3,11.25877511,0.266458826,3,7.693617021,0.389933628,0.695738522,0.59172304
146855,7,9.125299531,0.767098107,6,7.693617021,0.779867257,0.405257989,0.415786203
146890,12,12.13299275,0.989038751,9,7.693617021,1.169800885,0.27756745,0.320418047
146950,11,10.29339793,1.068646144,8,7.693617021,1.039823009,0.347374015,0.374186551
147020,8,10.99149574,0.727835427,8,7.693617021,1.039823009,0.386383701,0.309110629
147021,14,12.62841824,1.108610733,8,7.693617021,1.039823009,0.291901059,0.336225597
147022,8,13.47039463,0.593894999,5,7.693617021,0.649889381,0.490820349,0.496480054
147031,12,11.45831652,1.047274264,7,7.693617021,0.909845133,0.330665165,0.342021431
147032,6,9.740311593,0.615996721,6,7.693617021,0.779867257,0.441331003,0.415786203
147041,9,7.282818382,1.235785314,7,7.693617021,0.909845133,0.256649212,0.338546192
147042,8,7.927694513,1.00912062,7,7.693617021,0.909845133,0.320465401,0.354763973
147043,9,7.927694513,1.135260697,7,7.693617021,0.909845133,0.296176596,0.339704605
147044,9,10.54470681,0.853508795,8,7.693617021,1.039823009,0.325531082,0.299349241
147050,1,9.228494479,0.108360037,0,7.693617021,0,0.897724984,1
147051,6,8.377776763,0.716180458,7,7.693617021,0.909845133,0.368314274,0.325224443
147090,11,11.32771837,0.97106934,9,7.693617021,1.169800885,0.33332399,0.289829212
147120,13,9.751274396,1.33315908,10,7.693617021,1.299778761,0.23987525,0.266955267
147200,11,11.98537875,0.91778493,6,7.693617021,0.779867257,0.372333138,0.40149161
147260,13,10.63718954,1.222127325,10,7.693617021,1.299778761,0.24819381,0.247715248
147261,9,7.544336967,1.192947775,8,7.693617021,1.039823009,0.25764499,0.326464208
147270,5,14.05253225,0.355807758,4,7.693617021,0.519911504,0.63400909,0.580786026
147302,12,8.868750909,1.3530654,10,7.693617021,1.299778761,0.258343908,0.270803271
147304,12,9.700628143,1.237033295,8,7.693617021,1.039823009,0.285468449,0.336225597
147306,13,9.603219166,1.353712726,9,7.693617021,1.169800885,0.201947545,0.280652562
147340,8,11.13784362,0.718271891,8,7.693617021,1.039823009,0.420519104,0.317245119
147341,11,12.08467213,0.910243975,8,7.693617021,1.039823009,0.318637999,0.32483731
147420,6,9.895241083,0.606352079,7,7.693617021,0.909845133,0.415550016,0.33217492
147422,8,9.016520359,0.887260238,6,7.693617021,0.779867257,0.286887447,0.367930392
147450,10,10.58718899,0.944537781,9,7.693617021,1.169800885,0.340366057,0.295946979
147452,5,8.979196898,0.556842673,6,7.693617021,0.779867257,0.455225363,0.377252952
147453,4,8.350537509,0.479011081,4,7.693617021,0.519911504,0.530374104,0.531295488
147454,6,10.7981484,0.555650819,4,7.693617021,0.519911504,0.522274684,0.521106259
147480,11,10.98463975,1.001398339,8,7.693617021,1.039823009,0.339497956,0.359544469
147500,6,13.48277092,0.445012382,4,7.693617021,0.519911504,0.557907769,0.544395924
147520,4,10.84047873,0.368987394,3,7.693617021,0.389933628,0.604403057,0.598089932
147540,8,11.08049107,0.721989662,7,7.693617021,0.909845133,0.393958201,0.32406603
147590,6,8.942326568,0.670966326,5,7.693617021,0.649889381,0.459393172,0.42541066
147610,1,9.832869825,0.101699709,0,7.693617021,0,0.905607753,1
147611,10,9.024308277,1.108118173,11,7.693617021,1.429756637,0.306029114,0.26200774
147660,13,10.21822941,1.272236068,10,7.693617021,1.299778761,0.272464897,0.273689274
147690,4,8.943415925,0.447256399,4,7.693617021,0.519911504,0.569439891,0.576419214
147740,9,7.838539387,1.148173091,9,7.693617021,1.169800885,0.266909357,0.270456283
147821,8,9.983961404,0.801285149,7,7.693617021,0.909845133,0.401385158,0.382565885
147822,6,10.94839673,0.548025446,5,7.693617021,0.649889381,0.471867675,0.439490446
147832,15,10.8202138,1.386294234,12,7.693617021,1.559734513,0.201986755,0.218668971
147834,13,10.11183435,1.285622327,8,7.693617021,1.039823009,0.234619657,0.291214751
147910,7,10.26882608,0.681674803,7,7.693617021,0.909845133,0.426867535,0.35360556
147911,5,11.07929376,0.451292303,4,7.693617021,0.519911504,0.533487979,0.467248908
147950,11,8.525938695,1.290180518,11,7.693617021,1.429756637,0.256277524,0.245162759
147990,10,9.076315029,1.101768721,8,7.693617021,1.039823009,0.268354123,0.290130152
147993,15,11.16979927,1.342906854,11,7.693617021,1.429756637,0.239042253,0.234691555
148040,11,11.46485156,0.959454201,7,7.693617021,0.909845133,0.367260591,0.394150014
148061,7,11.09737403,0.630779857,5,7.693617021,0.649889381,0.443014549,0.450888367
148062,9,11.21486397,0.80250639,5,7.693617021,0.649889381,0.382896978,0.446195106
148063,14,11.86013906,1.180424608,8,7.693617021,1.039823009,0.256781808,0.305314534
148065,5,7.877098322,0.634751503,4,7.693617021,0.519911504,0.49456476,0.556768559
148067,9,10.50169899,0.857004186,8,7.693617021,1.039823009,0.337133388,0.302603037
148110,4,10.32241452,0.387506236,2,7.693617021,0.259955752,0.608557689,0.693590869
148170,8,11.55933275,0.69208147,5,7.693617021,0.649889381,0.463294747,0.484411666
148220,13,10.3840156,1.251924159,10,7.693617021,1.299778761,0.268270584,0.273689274
148221,11,10.43694105,1.053948657,8,7.693617021,1.039823009,0.301340683,0.324295011
148222,11,10.84491346,1.014300395,10,7.693617021,1.299778761,0.322364139,0.261183261
148225,8,9.508872756,0.841319492,5,7.693617021,0.649889381,0.468480043,0.534696614
148226,8,11.19641614,0.71451435,6,7.693617021,0.779867257,0.418025173,0.390304537
148280,8,9.237213049,0.866062086,7,7.693617021,0.909845133,0.344578634,0.339704605
