UID,O,E,OoverE,Onull,Enull,OoverE.null,BC,BC.null
2012788,7,6.623107962,1.056905616,7,7.693617021,0.909845133,0.32642859,0.381407472
2012789,17,16.71030893,1.017336069,10,9.059375,1.103828907,0.289220507,0.232989015
2012790,20,13.35849494,1.497174651,12,9.059375,1.324594688,0.232933557,0.19038433
2012791,13,10.89297098,1.193430151,10,9.059375,1.103828907,0.258854251,0.265781276
2012792,14,11.56034122,1.211036918,10,9.059375,1.103828907,0.282931117,0.26250205
2012793,9,9.528022124,0.94458219,8,7.693617021,1.039823009,0.312121429,0.315075922
2012794,13,13.29948605,0.977481382,10,9.059375,1.103828907,0.331944153,0.246597803
2012795,9,12.63559682,0.712273439,10,12.1559322,0.822643614,0.419569318,0.382802938
2012796,3,12.62569655,0.237610653,3,12.1559322,0.246793084,0.69277609,0.692238873
2012797,7,6.561059268,1.066900894,7,7.693617021,0.909845133,0.296415021,0.346655083
2012798,5,7.851473002,0.636823179,3,9.059375,0.331148672,0.446059928,0.659497279
2012799,8,14.82457677,0.539644411,8,12.1559322,0.658114891,0.489501162,0.441305079
2012800,14,16.91523347,0.827656327,13,12.1559322,1.069436698,0.355337472,0.304406414
2012801,8,7.736184237,1.034101536,3,9.059375,0.331148672,0.327385682,0.659497279
2012802,15,14.30749568,1.048401505,10,9.059375,1.103828907,0.310572677,0.241842925
2012803,13,16.26822006,0.799104017,9,9.059375,0.993446016,0.257518739,0.329987887
2012804,12,16.0863542,0.745973876,9,12.1559322,0.740379253,0.379339562,0.368370453
2012805,5,12.28399512,0.407033701,4,9.059375,0.441531563,0.601286073,0.580043073
2012806,7,11.04745718,0.633629974,6,9.059375,0.662297344,0.460600801,0.451753476
2012807,8,10.60781878,0.754160697,6,7.693617021,0.779867257,0.409269907,0.408328154
2012808,8,18.07508864,0.442598106,6,12.1559322,0.493586168,0.545888253,0.522778193
2012809,4,11.0971633,0.360452477,5,7.693617021,0.649889381,0.643437751,0.524639625
2012810,6,8.164850541,0.734857297,10,9.059375,1.103828907,0.376970167,0.27758649
2012811,9,17.49006478,0.514577854,7,12.1559322,0.57585053,0.52962179,0.482569457
2012812,4,7.655673521,0.52248832,3,9.059375,0.331148672,0.516450282,0.659497279
2012813,5,12.96080599,0.385778477,4,12.1559322,0.329057446,0.564907481,0.605119597
2012814,4,14.11775672,0.283331133,4,12.1559322,0.329057446,0.616054303,0.590012589
2012815,6,7.864010698,0.762969461,6,7.693617021,0.779867257,0.416672057,0.410192666
2012816,4,8.304907566,0.481642928,4,9.059375,0.441531563,0.540276959,0.593443408
2012820,9,9.417384883,0.955679322,5,7.693617021,0.649889381,0.36731997,0.450888367
2012821,8,8.227996288,0.972290181,7,7.693617021,0.909845133,0.374879466,0.382565885
2012822,7,8.881014356,0.788198253,3,9.059375,0.331148672,0.396032311,0.659497279
2012823,13,9.254604207,1.40470621,12,9.059375,1.324594688,0.237237786,0.211900876
2012824,4,16.08794389,0.248633388,3,12.1559322,0.246793084,0.725681094,0.71997316
2012825,14,15.13824834,0.924809772,13,12.1559322,1.069436698,0.27633138,0.287966581
2012826,7,10.23523785,0.683911805,5,12.1559322,0.411321807,0.412309334,0.548705789
2012827,4,10.22420859,0.391228325,2,7.693617021,0.259955752,0.643022168,0.708516242
2012828,4,7.886971501,0.50716552,7,7.693617021,0.909845133,0.492963042,0.361135245
2012829,10,12.77416237,0.782830193,9,12.1559322,0.740379253,0.362069369,0.365806762
2012830,5,13.43513549,0.37215851,4,12.1559322,0.329057446,0.584995154,0.603021402
2012831,9,9.043274494,0.995214732,6,7.693617021,0.779867257,0.345226827,0.418893723
2012832,6,10.52244587,0.570209633,6,7.693617021,0.779867257,0.473075788,0.408328154
2012833,10,10.52198624,0.950390902,10,7.693617021,1.299778761,0.310260711,0.247715248
2012834,14,9.823146338,1.425205277,9,7.693617021,1.169800885,0.221413514,0.283201631
2012835,9,6.598591332,1.363927473,8,7.693617021,1.039823009,0.236749014,0.303687636
