"SITE_ID","VISIT_NO","SAMPLE_ID","Chem_Lab_ID","H2O_dD","H2O_d18O","d.excess"
"MSS9-0917","2",754100,"1410380",-21.51,-4.54,14.84
"MSS9-0919","1",750540,"1410379",-22.46,-4.53,13.82
"MSS9-0919","2",763480,"1410743",-22.11,-4.34,12.6
"MSSS-1081","1",750620,"1410238",-42.02,-6.18,7.44
"MSSS-1082","1",705540,"1410071",-21.8,-3.83,8.86
"MTLS-1135","1",764460,"1410946",-86.85,-9.22,-13.11
"MTLS-1136","1",754420,"1410589",-133.71,-17.08,2.89
"MTLS-1138","1",730740,"1410880",-135.73,-17.95,7.86
"MTLS-1139","1",718000,"1410450",-91.99,-11.28,-1.73
"MTLS-1141","1",754440,"1411132",-121.01,-15.71,4.7
"MTLS-1142","1",753620,"1410549",-138.17,-18.53,10.03
"MTLS-1144","1",754400,"1410673",-79,-5.79,-32.67
"MTLS-1145","1",754900,"1410525",-126.66,-17.16,10.64
"MTLS-1149","1",758480,"1411183",-116.77,-14.78,1.46
"MTLS-1155","1",708340,"1411184",-121.61,-14.26,-7.52
"MTLS-1164","1",754460,"1410744",-130.31,-16.63,2.76
"MTLS-1189","1",759200,"1410852",-136.55,-17.89,6.59
"MTR9-0902","1",751620,"1410478",-126.74,-16.85,8.06
"MTR9-0903","1",761360,"1410626",-120.45,-15.05,-0.06
"MTR9-0903","2",764500,"1410950",-119.5,-14.59,-2.74
"MTR9-0904","1",759040,"1410733",-117.18,-13.99,-5.29
"MTR9-0906","1",759080,"1410757",-131.1,-16.79,3.21
"MTR9-0907","1",749360,"1410336",-116.45,-13.36,-9.55
"MTR9-0910","1",758980,"1410617",-134,-17.75,8.02
"MTR9-0911","1",751600,"1410493",-127.34,-17.14,9.77
"MTR9-0914","1",753680,"1410593",-123.13,-14.2,-9.55
"MTR9-0915","1",753740,"1410657",-129.41,-15.79,-3.12
"MTR9-0917","1",764520,"1410872",-136.24,-18.08,8.39
"MTR9-0918","1",749320,"1410166",-136.36,-17.99,7.58
"MTR9-0919","1",753480,"1410255",-110.3,-11.9,-15.09
"MTR9-0921","1",751680,"1410424",-132.35,-17.26,5.76
