"SITE_ID","VISIT_NO","AMMONIA_N_RESULT","AMMONIA_N_RESULT_UNITS","ANC_RESULT","ANC_RESULT_UNITS","CALCIUM_RESULT","CALCIUM_RESULT_UNITS","CHLORIDE_RESULT","CHLORIDE_RESULT_UNITS","COLOR_RESULT","COLOR_RESULT_UNITS","COND_RESULT","COND_RESULT_UNITS","DOC_RESULT","DOC_RESULT_UNITS","MAGNESIUM_RESULT","MAGNESIUM_RESULT_UNITS","NITRATE_N_RESULT","NITRATE_N_RESULT_UNITS","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_RESULT_UNITS","NITRITE_N_RESULT","NITRITE_N_RESULT_UNITS","NTL_RESULT","NTL_RESULT_UNITS","PH_RESULT","PH_RESULT_UNITS","POTASSIUM_RESULT","POTASSIUM_RESULT_UNITS","PTL_RESULT","PTL_RESULT_UNITS","SILICA_RESULT","SILICA_RESULT_UNITS","SODIUM_RESULT","SODIUM_RESULT_UNITS","SULFATE_RESULT","SULFATE_RESULT_UNITS","TSS_RESULT","TSS_RESULT_UNITS","TURB_RESULT","TURB_RESULT_UNITS"
"KSRF-0006",1,0.074,"MG N/L",4755.41,"UEQ/L",68.63,"MG/L",5.05,"MG/L",21,"APHA PT-CO",502,"US/CM AT 25 C",2.37,"MG/L",12.63,"MG/L",0.452,"MG N/L",NA,"",0,"MG N/L",0.938,"MG/L",7.95,"STD. UNITS",4.222,"MG/L",206,"UG/L",16.088,"MG/L",22.51,"MG/L",24.69,"MG/L",20.6,"MG/L",8.2,"NTU"
"ILLS-1071",1,0.181,"MG N/L",6047.92,"UEQ/L",97.55,"MG/L",22.821,"MG/L",11,"APHA PT-CO",779,"US/CM AT 25 C",2.4,"MG/L",44.05,"MG/L",0.778,"MG N/L",NA,"",0,"MG N/L",1.386,"MG/L",8.2,"STD. UNITS",2.496,"MG/L",101,"UG/L",11.285,"MG/L",10.96,"MG/L",101.061,"MG/L",7.8,"MG/L",3.77,"NTU"
"MNRM-1006",1,0.011,"MG N/L",3067.16,"UEQ/L",44.82,"MG/L",14.366,"MG/L",43,"APHA PT-CO",353,"US/CM AT 25 C",9.9,"MG/L",15.08,"MG/L",0.301,"MG N/L",NA,"",0,"MG N/L",1.176,"MG/L",8.42,"STD. UNITS",2.353,"MG/L",134,"UG/L",13.361,"MG/L",9.03,"MG/L",12.532,"MG/L",16.8,"MG/L",9.36,"NTU"
"LAS9-0948",1,0.019,"MG N/L",2602.5,"UEQ/L",30.43,"MG/L",14.421,"MG/L",33,"APHA PT-CO",304,"US/CM AT 25 C",8.22,"MG/L",11.47,"MG/L",0.004,"MG N/L",NA,"",0,"MG N/L",1.183,"MG/L",8.22,"STD. UNITS",4.523,"MG/L",299,"UG/L",14.43,"MG/L",15.62,"MG/L",8.022,"MG/L",20.7,"MG/L",32.76,"NTU"
"MOS9-0932",1,0.073,"MG N/L",3122.08,"UEQ/L",68.03,"MG/L",11.05,"MG/L",28,"APHA PT-CO",509,"US/CM AT 25 C",6.62,"MG/L",13.34,"MG/L",0.109,"MG N/L",NA,"",0,"MG N/L",0.79,"MG/L",7.99,"STD. UNITS",7.856,"MG/L",86,"UG/L",4.775,"MG/L",18.26,"MG/L",89.976,"MG/L",8.9,"MG/L",6.83,"NTU"
"NYR9-0906",1,0.039,"MG N/L",1496.2,"UEQ/L",24.82,"MG/L",31.017,"MG/L",64,"APHA PT-CO",259,"US/CM AT 25 C",8.46,"MG/L",5.103,"MG/L",0.086,"MG N/L",NA,"",0.002,"MG N/L",0.605,"MG/L",7.7,"STD. UNITS",0.64,"MG/L",71,"UG/L",5.877,"MG/L",19.67,"MG/L",4.476,"MG/L",1.9,"MG/L",2.62,"NTU"
"WYRF-0006",1,0.009,"MG N/L",1862.49,"UEQ/L",54.88,"MG/L",4.808,"MG/L",30,"APHA PT-CO",402,"US/CM AT 25 C",3.5,"MG/L",11.55,"MG/L",0.004,"MG N/L",NA,"",0,"MG N/L",0.343,"MG/L",8.75,"STD. UNITS",3.367,"MG/L",84,"UG/L",25.048,"MG/L",12.67,"MG/L",107.06,"MG/L",8.7,"MG/L",17.15,"NTU"
"INSS-1088",1,0.065,"MG N/L",5439.03,"UEQ/L",80.97,"MG/L",19.431,"MG/L",28,"APHA PT-CO",607,"US/CM AT 25 C",3.31,"MG/L",31.48,"MG/L",0.229,"MG N/L",NA,"",0,"MG N/L",0.696,"MG/L",8.28,"STD. UNITS",3.363,"MG/L",206,"UG/L",20.817,"MG/L",6.05,"MG/L",41.383,"MG/L",8.7,"MG/L",6.4,"NTU"
"SDRO-1072",1,0.018,"MG N/L",6730,"UEQ/L",20.1,"MG/L",8.341,"MG/L",59,"APHA PT-CO",941,"US/CM AT 25 C",11.58,"MG/L",5.148,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",1.576,"MG/L",8.43,"STD. UNITS",6.835,"MG/L",206,"UG/L",10.238,"MG/L",206.9,"MG/L",150.723,"MG/L",199.5,"MG/L",167.3,"NTU"
"SDS9-0941",1,0.05,"MG N/L",2280.55,"UEQ/L",6.6,"MG/L",7.897,"MG/L",190,"APHA PT-CO",449,"US/CM AT 25 C",12.13,"MG/L",1.467,"MG/L",0.4,"MG N/L",NA,"",0.001,"MG N/L",2.175,"MG/L",7.73,"STD. UNITS",4.997,"MG/L",1349,"UG/L",14.777,"MG/L",92.15,"MG/L",84.072,"MG/L",995,"MG/L",5638.04,"NTU"
"IARO-1013",1,0.008,"MG N/L",4275.17,"UEQ/L",78.54,"MG/L",25.447,"MG/L",17,"APHA PT-CO",605,"US/CM AT 25 C",2.9,"MG/L",24.24,"MG/L",10.268,"MG N/L",NA,"",0.014,"MG N/L",10.9,"MG/L",8.36,"STD. UNITS",2.115,"MG/L",216,"UG/L",15.591,"MG/L",9.61,"MG/L",33.078,"MG/L",23.7,"MG/L",6.29,"NTU"
"NDRO-1024",1,0.044,"MG N/L",7462.77,"UEQ/L",55.1,"MG/L",17.33,"MG/L",63,"APHA PT-CO",1871,"US/CM AT 25 C",12.97,"MG/L",36.06,"MG/L",0.02,"MG N/L",NA,"",0.009,"MG N/L",1.121,"MG/L",8.53,"STD. UNITS",9.296,"MG/L",133,"UG/L",7.163,"MG/L",340.1,"MG/L",607.55,"MG/L",44.4,"MG/L",31.31,"NTU"
"ORR9-0914",1,0.009,"MG N/L",1970.06,"UEQ/L",17.36,"MG/L",3.065,"MG/L",21,"APHA PT-CO",224,"US/CM AT 25 C",3.65,"MG/L",7.095,"MG/L",0.018,"MG N/L",NA,"",0,"MG N/L",0.478,"MG/L",8.06,"STD. UNITS",3.942,"MG/L",278,"UG/L",37.851,"MG/L",18.11,"MG/L",13.529,"MG/L",12.1,"MG/L",16.39,"NTU"
"ORS9-0939",1,0.002,"MG N/L",4906.98,"UEQ/L",107.8,"MG/L",0.815,"MG/L",15,"APHA PT-CO",585,"US/CM AT 25 C",1.43,"MG/L",10.45,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",0.065,"MG/L",8.22,"STD. UNITS",1.469,"MG/L",70,"UG/L",26.821,"MG/L",6.1,"MG/L",80.091,"MG/L",1.4,"MG/L",0.07,"NTU"
"WISS-1164",1,0.019,"MG N/L",2737.534,"UEQ/L",51.5,"MG/L",21,"MG/L",10,"APHA PT-CO",430,"US/CM AT 25 C",2.6,"MG/L",19.3,"MG/L",9.34,"MG N/L",9.78,"MG N/L",NA,"",10.3,"MG/L",8.13,"STD. UNITS",3.74,"MG/L",219,"UG/L",16.4,"MG/L",6.45,"MG/L",15.2,"MG/L",8,"MG/L",6.51,"NTU"
"ILRF-0003",1,0.006,"MG N/L",5115.86,"UEQ/L",74.88,"MG/L",22.408,"MG/L",20,"APHA PT-CO",659,"US/CM AT 25 C",2.24,"MG/L",39.26,"MG/L",6.535,"MG N/L",NA,"",0.013,"MG N/L",7.175,"MG/L",8.52,"STD. UNITS",1.83,"MG/L",56,"UG/L",7.315,"MG/L",11.67,"MG/L",53.415,"MG/L",5.9,"MG/L",3.75,"NTU"
"OHRF-0002",1,0.025,"MG N/L",2678.69,"UEQ/L",48.43,"MG/L",16.168,"MG/L",50,"APHA PT-CO",397,"US/CM AT 25 C",7.91,"MG/L",11.99,"MG/L",1.027,"MG N/L",NA,"",0,"MG N/L",1.819,"MG/L",8.15,"STD. UNITS",5.014,"MG/L",141,"UG/L",9.07,"MG/L",12.12,"MG/L",38.798,"MG/L",20.4,"MG/L",14.33,"NTU"
"MOSS-1159",1,0.023,"MG N/L",2318.68,"UEQ/L",52.98,"MG/L",33.656,"MG/L",28,"APHA PT-CO",488,"US/CM AT 25 C",3.97,"MG/L",10.05,"MG/L",9.812,"MG N/L",NA,"",0.017,"MG N/L",10.438,"MG/L",8.2,"STD. UNITS",6.638,"MG/L",591,"UG/L",8.391,"MG/L",26.02,"MG/L",33.387,"MG/L",18,"MG/L",4.72,"NTU"
"TXSS-1210",1,0.004,"MG N/L",4561.6,"UEQ/L",66.9,"MG/L",7.718,"MG/L",20,"APHA PT-CO",451,"US/CM AT 25 C",1.72,"MG/L",17.02,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",0.185,"MG/L",7.92,"STD. UNITS",1.93,"MG/L",29,"UG/L",10.688,"MG/L",4.3,"MG/L",12.189,"MG/L",3.6,"MG/L",1.53,"NTU"
"NCS9-0921",1,0.01,"MG N/L",281.6,"UEQ/L",4.09,"MG/L",4.6,"MG/L",23,"APHA PT-CO",62.4,"US/CM AT 25 C",2.42,"MG/L",2.137,"MG/L",1.106,"MG N/L",NA,"",0.003,"MG N/L",1.371,"MG/L",7.42,"STD. UNITS",2.902,"MG/L",78,"UG/L",11.764,"MG/L",2.7,"MG/L",2.537,"MG/L",28.7,"MG/L",13.03,"NTU"
